"id","text","label"
"1399062502319742979","What is the insight on the vaccine rollout? Who is eligible to receive vaccine? #FamilyMeeting",""
"1373469166318067714","1 in 6 US adults has been fully vaccinated for COVID-19, CDC says - The Hill",""
"1431538846966198272","OPINION: No, COVID-19 vaccine passports and mandatory vaccination do not 'protect the health and safety of Canadians'",""
"1402683799603924996","Canada to receive 7M Moderna vaccine doses in June: Anand",""
"1392845269373423618","Esse possível cronograma da pfizer eu não sei se dou risada de nervoso, se choro, se quebro alguma coisa em casa... não sei mesmo",""
"1400208398436777989","I almost bought a vaccine holder off Etsy but decided to try to just DIY the one I have and I like mine more! Covers up most of my personal information and it’s pretty 🤗",""
"1374758284566093824","@TheLocalSweden Can you consider asking why men lag behind women in vaccine uptake? Is this due to some healthcare consideration, poorer uptake...something else? I have been pondering this for a few weeks.",""
"1417963288638353408","Waiting to get my vaccine shots and my doctor comes in asking if I want to try his hash browns that he just cooked. This is definitely a first",""
"1378249688445554688","Fully vaccinated can travel again, says new CDC guidance",""
"1438855741142667266","States Embrace Vaccine Mandates Despite Potential Worker Exodus  via @routefifty",""
"1396743368701476865","I read that most Pfizer vaccines are in Davao hospitals. Won’t be surprised if true. Si Duterte pa! #covid19ph #DutertePalpak",""
"1438934378516733952","So Fox, which has long advocated for not wearing masks or getting the vaccine is telling employees they either have to get the vaccine or get daily Covid tests?? So they only care about stoking anti-vaxx conspiracies when it doesn’t affect them financially. Got it! #GetVaxxed",""
"1395607119970197508","These results from the official NMFurs telegram chat are really encouraging. Way to go! Thank you to everyone who has been vaccinated and are planning to. With numbers like these we can effectively protect those in our community who can’t get vaccinated. 

Keep it up!",""
"1421274778086825989","$ocgn COVAXIN VACCINE #1  $$250 with all mRNA vaccines failing to protect",""
"1373892320559566850","It is utopian in present day Pakistan, but how a great (and vote garnering) excercise if PPP &amp; PML-N had asked their dirty rich mebers to pool their resources and get Vivid vaccine. They could have sold the vaccine to public on minimum profit. They could have gained so much",""
"1436209476944621568","Dear ambitious potus wannabes (Ted I’m talkin to you)..I get you think shit talking Biden’s plan will keep your base riled &amp; get you votes, but how many votes will you have if they’re dead because you let them think not getting vaccinated was smart? Hint: not enough to win🥈#GQP",""
"1394989343094317060","In Germany, an Early Vaccine Shot Comes With Disapproving Looks – The New York Times",""
"1417159449131851783","The vaccine programme has been rolled out to more kids across the UK.",""
"1392850397061128197","Pfizer vaccine approved for children ages 12-15 in Wisconsin:  @fox6now",""
"1378242410220818435","RT bernamadotcom: [World] Turkish religious body: Vaccine jab does not break fast",""
"1448331358259093507","Quebec pushes back vaccine deadline to Nov. 15 for health-care workers",""
"1394254647381143555","Chileno FA ≠ PC; nadie quiere una constitución castro chavista, a muchos les metieron el bichito del izquierda v derecha, pero la mayoría ganadora es independiente; debemos estar felices de que se hará una constitución moderna y justa.",""
"1414926868034244625","VIDEO - Dr. Ashish Jha: ‘We’re Still Figuring Out’ Whether a Rare Neurological Disorder Is Linked with the J&amp;J Vaccine",""
"1377710211411009536","Thread by @JPTasker: Some important vaccine updates — Maj. Gen. Dany Fortin says the 590,000 Moderna doses that were delayed last week (slow quality assurance process) are leaving Europe today, and will land in Can...…",""
"1416225783740354562","The people shitting on VAERS right now have absolutely no clue! First off it's ran by the CDC and secondly there is absolutely no other place to report vaccine reactions and deaths besides VAERS! Plus the CDC doesn't have the capability to follow up and check all claims like 1/2",""
"1448333635778760705","Dear U.S. Government can you PLEASE activate the sleeper cells in the vaccine already specifically so @stephenasmith can shut the fuck up about what he thinks Kyrie Irving should do with his body to be eligible to entertain ppl playing a fucking game he has nothing left to prove",""
"1436074207511814147","Is it a HIPAA Violation to Ask for Proof of Vaccine Status?",""
"1379536204853547012","anyways my vaccine is scheduled. im trying to imagine very useless mutations i could develop, like
- producing empty jamba juice cups out of thin air
- i can fly but only with my left leg
- all my fingers have sour patch kids at the end of them and they heckle me",""
"1443381794573750277","Can we give a slow clap to the idiots who were protesting 2 weeks off for mandatory vaccinations who have now scored an extra 2 weeks off for being at a tier one exposure site and infecting themselves and their loved ones with covid which a vaccine could have prevented?",""
"1373120262288375808","Thrilled to see @erinotoole going bold on healthcare: a national mental health action plan, willingness to partner with the pharma sector and support for vaccine capacity-building in 🇨🇦 are all winning ideas that Canadians should get behind  #CPC21 #cdnpoli",""
"1415978362527440902","Good morning Twitter family! I hope you have a great day! 2nd day post vaccination and I feel just fine! Anyone who worries about the 2nd vaccine, don’t, it’s a piece of cake! Blessed be!💜💜💜",""
"1431369399643131912","Milk has a favorite gluten-free cookie too😜
Try our new (and improved) Chocolate Sandwich Cookies tomorrow only @craftsburyfarmersmarket 
Don't forget your vaccine card for a free cookie, donut, or drink of your choice!",""
"1415991287510040576","Every State should *Accelerate"" the Vaccination drive, as the target is set to vaccinate the every citizen of 🇮🇳 is by the end of this year.

Mission Vaccination✌️",""
"1433586166050148354","Without mandatory vaccination in high-risk industries or vaccine passports, we will see longer lockdowns, more financial pain, children kept out of classrooms and an Australia disconnected from the world.",""
"1432388187964510209","@JReinerMD Thanks to DeSantis Hospitals/Facilitates in Fla Cities dont demand Med Techs are vaccinated in GNV I found 3:3 techs treating patients are unvaxed. MD &amp; Nurses jobs are threatened for speaking up. UFShands, SIMED, NFlaReg -unvaxxed treating patients",""
"1410036625002795012","Jeannette Young says under 40s should wait until they could receive a Pfizer vaccination, saying she doesn't want fit and healthy young people to ""put their health on the line"" for the AstraZeneca vaccine",""
"1442132097548779522","The Pfizer vaccine has been authorized for booster doses.
 
You may need one if you've had the Pfizer vaccine 6+ months ago and are: 
-65+
-At high risk of severe COVID-19
-At high risk of exposure and serious complications of COVID-19

To find a vaccine,",""
"1425482120357679109","Getting a driver's license doesn't require experimental vaccine shots that aren't approved by the FDA. Penn,Damon &amp; Stone can piss off 👇

Sean Penn calls for mandatory vaccinations, says it's no different than requiring a driver's license | Fox News",""
"1409702905666433024","People we are been had!  For Vaccinated people PCR is lowered to 28 cycles! 
Whist for unvaccinated over 30  cycles on PCR test as currently NSW uses 45 cycles!!!  #Casedemic",""
"1377699896220909577","New “Montana Public Health Institute” is Actually A Far-Left Group Funded By Vaccine Manufacturer  via @Montana Daily Gazette",""
"1428300485518413835","Texas Couple Who 'Didn't Trust' COVID Vaccine Die, Leave Behind 4 Children: 'This Virus Is Real'",""
"1378272239687065610","PETITION: No to mandatory vaccination for the coronavirus | LifePetitions",""
"1431769324524560384","Doğal immün sistem koruması pfizer aşısının korumasından 13 defa daha kuvvetlidir:",""
"1415717280550461443","Does anyone who works for the govt/track and trace know what a fully vaccinated person has to do if someone they live with is told to isolate because they returned from an Amber list country?? Can't seem to find a straight answer online",""
"1433773912937013252","Besok dijadwalin untuk vaksin moderna wkwkwk excited tp takut bgtttt ih 🥲",""
"1423652422052896771","Dr. Amy Whitten, Beaumont Maternal-Fetal Medicine Physician, was on @CBSDetroit to explain how the vaccine benefits mother and baby during and after pregnancy.",""
"1382180038792019975","Lately, my favorite past-times are finding great deals on travel for myself and others, and finding vaccine appointments for myself and others. Thank yew.",""
"1438218817700827138","Analysis of the Pfizer vaccine against COVID-19 identified two potential risk factors for inducing prion disease in humans.",""
"1400221188434051072","COVID-19 Vaccination appointments available at CVS near SHICKSHINNY, PA. Sign up at  2021/06/02 22:42:00",""
"1410528688408563712","So, is it a ludicrous conspiracy theory to think federal leaders in Australia are fine with a slower vaccine roll-out because they want to cynically exploit the political capital of closed-borders, lockdowns and generalised anxious feelings during the next election in early 2022?",""
"1389226480727625733","James Gilsenan from Clontarf had his Covid-19 vaccine in the Croke Park vaccination centre today, photographed here with our excellent nurse Angela, James says ""I'm looking forward to a walk on the seafront and visiting my Grand kids in Cork"" @hselive #holdfirm",""
"1441828817207644168","So you mean to tell me.. 

Japans looking to open travel to US residents with vaccine proof in the near future..but won't recognize the one I got. I hold that 'L' because I definitely had travel to Japan in the back of my mind when I offered my arm..",""
"1446087180682612743","Pfizer Asks F.D.A. to Authorize Its Covid-19 Vaccine for Children 5 to 11",""
"1416665127319965701","Si será efectiva la Pfizer con el aumento de pechos que en la Seguridad Social ya están haciendo lista de espera de mujeres que quieren quitarse 3-4 tallas para que no les perjudique la espalda.

Los hombres tendremos que esperar para operarnos. ¡Cachis!",""
"1381582632224501764","ICYMI: taking pain relievers soon before/ after your COVID vax could reduce your immune response.",""
"1433340357371125767","Covid, Pregliasco: ""No vax sfogano loro paure contro i virologi"" -",""
"1377690786612051972","@ people who post pics of their covid vax card like do yall not have friends and family u can just send that shit to??????? why do i want...... to see that...........",""
"1436076104993976323","So we went from we will get all Americans out, everyone get the same vax because only 1 in 5000 get covid. First off, I call bullshit and secondly go f@@k ur self.",""
"1374094316193320963","The first thing I’m gonna do when I get my Covid Vax is hug my grandma...
She said it too ! 

I haven’t ... hugged her or anyone in a year and I’ll probably cry cause I tear up thinking about it. 

Omg I haven’t smelled my grandmas perfume in a year 🥺 ok .. don’t cry",""
"1405042457608278016","The problem with mandatory vaccination is the removal of human right in protecting one’s health and life, including the choice of vaccine to use.",""
"1405788688970309635","People who have the AstraZeneca vaccine are NOT allowed in Bruce Springsteen’s Broadway show",""
"1397989197424828426","¡INCREÍBLE!|📣 😱Exjefes de la empresa Pfizer piden cancelar la vacuna del covid-19 pues contiene efectos secundarios 
¿Cuales son? ¡Aquí te los contamos!👇",""
"1402110560334868486","you know being a journalist doesn’t pay that well. Thank god for the top up payments from Pfizer in return for shilling for Big Vaccine",""
"1389237675320807433","“Covid vaccine rollout rapidly gathering pace across Europe”",""
"1430879250471661569","Employers in the private sector have the right to impose mandatory vaccination requirements, but they will have to show specific reasons",""
"1434881643072864257","mRNA Vaccine Inventor Warns Of Setup For ‘Escape Mutant Virus’ -",""
"1415978227479334913","i can't even show how happy and emotional i am i repeat it but i'm in the thing to get vaccinated idk how it's called but yeah",""
"1405342397320425472","Pfizer vaccines available soon in Roxas City, Capiz.
Sa Iloilo City kaya, meron din?
Parang wala akong narinig na binalita sa radyo ngayong umaga.",""
"1431338666950017027","Turning Point USA: Mayor Lightfoot: ""We Absolutely"" Need A Vaccine Mandate For City Employees",""
"1415228397576364032","Single-dose Sputnik Light COVID vaccine expected to be launched in India soon: Russian envoy (ANI)",""
"1443365030666379268","Más vale la sabiduría que las armas de guerra; pero un solo pecador destruye mucho bien.

#Eclesiastes 9:18 - Verso No. 17494 - Versión Moderna - #Biblia",""
