"id","text","label"
"1392917491526033408","I’m fully vaccinated but I don’t know if I’m going out mask off just yet. Remember when the pandemic was first hitting in America and they said mask weren’t necessary then turned around and said they were critical. So I’m still gonna be mask on for now...",""
"1394422800325115904","I got vaccinated guys! I’m fully expected to not feel so hot for the next few days or so but it’s all good bc im at home. I chose the j&amp;j single dose vaccine because I felt that I was healthy enough to go for it. v excited for the future.💛",""
"1405568795872219136","apparently the Covid vaccine only works if you post a photo of your card on your story",""
"1432263447547297794","Covid-19: FDA set to grant full approval to Pfizer vaccine without public discussion of data | The BMJ",""
"1438230669537292298","@AskLyft with the vaccine passport coming into effect in Ontario and across Canada, what is your position regarding mandatory vaccination for current Lyft drivers?",""
"1438937189790912516","Sky News: BREAKING: Wales makes vaccine passports mandatory for nightclubs &amp; large events.


via @GoogleNews",""
"1400801125582786566","@CA_DIR 
Since you're relaxing wearing masks in the workplace for fully VACCINATED workers
How do plan on figuring out who is fully VACCINATED in the workplace? Uhhhh HIPPA laws and privacy issues...
You do realize people WILL LIE about being fully VACCINATED.
That's hysterical",""
"1380692458204446723","Canada's COVID-19 battle at a 'critical point': Vaccines aren't going to help us get out of the third wave immediately, Dr. Tam warns  via @Yahoo As usual wrong priority.Shutting things down is not a solution, getting max people vaccinated is.Incompetence!",""
"1396752872314974209","More than 2,500 doses of a COVID-19 vaccine were administered at a pop-up clinic held at city hall Sunday.​",""
"1375882661235986436","Something's in the air because y'all just shooting up folks. The vaccine come out &amp; y'all go back to mass shootings?? 

T H E R A P Y. 

The panoramic ain't over yet &amp; I don't feel like dealing with this shit either when I finally do decide to go outside 😒",""
"1415978413731553280","I told my child’s father I wasn’t comfortable with him being around me  or my child if he’s not vaccinated. Now the anti vaxxer is getting vaccinated 🙏🏽😎 He know I do not play about my damn baby.",""
"1374109918127656965","53 appointments available at Tufts Medical Center Vaccine Site - Boston on 2021-03-29. Check eligibility and sign up at",""
"1393670719356260355","Such a shame that one of the side affects of the vaccine seems to be my inability to make my own cup of tea* and I have to have @ledgerd174 do it for me 😈
(*this may be unscientifically proven)",""
"1438868003668459526","Italy plans to become the testing ground for a new experiment: It is the first European country to force public and private workers to get vaccinated or face punishment. @cainburdeau",""
"1436457178848628739","I don’t have the vaccine yet, never tried to go get tested for covid, traveled all last year and up til June this year and still haven’t got sick. Not saying covid isn’t real I’m just want to know if I’m superwoman or not. But let me make these vaccination appts",""
"1429326141953912842","when there will be no education  people will definately be expected to say they have introduce vaccine for unfertility to decrease muslim population
#NoMoreEducationalLockDownInSindh",""
"1410529594826924035","@drharshvardhan my mother is 89 years and we are trying hard but unable to get vaccine my father died of corona . Kindly help her",""
"1427035965915336709","i got vaccinated yesterday and i still have some side effects but i just came here to say once its your turn please go get vaccinated!!!! and force your family to do the same!!!!",""
"1391410876071268355","@brianstelter Vaccines are still only in Emergency Authorization is it really so crazy for someone to want to wait until a vaccine is fully authorized? Don't forget a year ago experts and pundits said the idea of a vaccine being developed in a year was crazy talk.",""
"1415978227479334913","i can't even show how happy and emotional i am i repeat it but i'm in the thing to get vaccinated idk how it's called but yeah",""
"1436092735774199816","Study: Fully Vaccinated Healthcare Workers Carry 251 Times Viral Load, Pose Threat to Unvaccinated Patients, Co-Workers, by Peter A. McCullough, M.D., MPH - Easton Spectator",""
"1398362399787397124","Officially got that vaccine now.  So far feeling fine.  I got the Johnson &amp; Johnson one because you can never have too many Johnsons.  Now covid will not turn me into a werewolf.  This is great.",""
"1395640216220692486","@Naveen_Odisha sir ଏହି ପିନକୋଡ୍ ରେ ଆଜି ଯାଏଁ vaccine ଆସିନାହିଁ । ଦୟା କରି ଟିକେ ଧ୍ୟାନ ଦିଅନ୍ତୁ 🙏🏾🙏🏾",""
"1415972073210589185","Don’t forget to maintain safety at vaccination sites- #WearAMask #SanitiseHands Avoid close contacts! 

And even after you are vaccinated- remain vigilant- it takes time to build up immunity. 

#VaccineRollOutSA",""
"1397992102785470466","don’t argue with me about the vaccine cause we won’t agree. i won’t agree with you. period. 😇",""
"1372526481507762176","How do I know you’re vaccinated if you don’t SHOW me on social media???? HOW AM I SUPPOSED TO KNOW?",""
"1381978141988634627","Whether you get the vaccine or not. That is none of my concern and I don’t care for you to volunteer your thoughts to me. I don’t care what YOU want to do.",""
"1430725777150996488","me on sept 13 ready to see 4 other vaccinated friends outside after living in the same set of tracksuit pants for two months",""
"1423926140343889921","Committee tasks Ofori-Atta to recover GH¢16M spent on botched Sputnik V vaccine deal  #CitiNewsroom",""
"1448320068438401032","If I take the vaccine that is on me and myself no one else is liable no one else could get harmed from side affects.. no one else is safe because I could still catch covid and spread it..  so tell me why we are bullying people and backing them into a corner",""
"1443016534331363329","As expected, Whitmer's OK with budget provision that bans state, local governments from COVID-19 vaccine requirements - because most 'mandates' allow alternative like weekly testing. Also, provision has exception if there's federal vaccine rule, which is coming for many employers",""
"1418522634023809025","TP Hồ Chí Minh thành lập Trung tâm Điều phối tiêm vaccine phòng COVID-19",""
"1444172958864482318","As a responsible citizen I am fully vaccinated and now waiting for the booster program if we will even get there! I did it because I wanted to have piece of mind and the freedom to travel. #IChooseVaccination",""
"1413288109534547968","There are some of us @TuckerCarlson who are smokers, so to say by not taking the vaccine we're choosing death, we'll we're kind of doing that by being smokers, so that argument won't work with us!",""
