"id","text","label"
"1417206913494880260","Please kids, don't have a vaxx just to attend nightclubs .. Instead, use those clever brains and create your own....",""
"1398519315645698054","Canada ordered the vaccine 5 times the population, Britain 3.6 and the European Union 2.7. If we ask, Hindutva is in danger and malign Modi.
@INCIndia",""
"1450859872594145286","Isn’t that the job of the jab? So now you have to be vaccinated and take medication?

COVID-19: UK strikes deals for two antiviral drugs to help combat coronavirus surge this winter",""
"1381982182801993728","@cnn @jaketapper please retract your story about vaccine shortage in Canada. There is no vaccine shortage. There are, however, several inept Provincial Premiers that should never be in charge of pouring water into a cup let alone a vaccine rollout. @cnn get your facts straight!",""
"1412233588557426690","COVID-19 Vaccination appointments available at CVS near ELDERSBURG, MD. Sign up at  2021/07/06 02:15:00",""
"1377703752912756740","No COVID-19 vaccine is better than the other —Experts",""
"1415991287510040576","Every State should *Accelerate"" the Vaccination drive, as the target is set to vaccinate the every citizen of 🇮🇳 is by the end of this year.

Mission Vaccination✌️",""
"1381108661276323840","Virginia man has peeled skin after COVID-19 vaccine",""
"1415978362527440902","Good morning Twitter family! I hope you have a great day! 2nd day post vaccination and I feel just fine! Anyone who worries about the 2nd vaccine, don’t, it’s a piece of cake! Blessed be!💜💜💜",""
"1439288849444835330","The “CULLING OF THE HUMAN RACE” has begun, this is the first of many, those that choose to DEPART by refusing Vaccination must be left to their own devices.
Should schools require students to get the COVID vaccine?  via @YahooNews",""
"1382952910619807744","New post: ""Le patron de Pfizer estime qu'une troisième dose de vaccin sera ""probablement"" nécessaire""",""
"1430723267141279746","Já estou na 5t de familia moderna e vou começar assistir devagar p n terminar ela tão rápido",""
"1433580965855641610","if you won’t perform the simplest duty of wearing a mask or getting a vaccine to protect your fellow americans, but you think going overseas to kill innocent women and children is “protecting your country” you don’t deserve to wear the uniform",""
"1436091334381670412","Dear President Biden, getting vaccinated will not stop the spread of the delta variant. You can still get covid if you are vaccinated &amp; not following proper protocols. The vaccine will only prevent serious illness. Covid is the new flu &amp; it isnt going anywhere. #vaccine #Covid_19",""
"1437046561062719488","Howard Stern says people who refuse to get a COVID-19 vaccine are 'idiots' and calls for mandatory vaccinations

I agree, they had a choice and made the wrong one, now force them to make the correct choice.",""
"1431541252940574720","Georgia cop who pushed people to take horse dewormer instead of vaccine dies from COVID-19 #SmartNews",""
"1425484379904790530","Total COVID-19 Vaccine Doses Administered In India Crosses 52 Crore: Centre",""
"1379945673437642757","China's vaccine map: Aid more countries with 1st EU GMP certificate  via @cgtnofficial",""
"1436217345991610400","One dose of Covid vaccine 96.6% effective in preventing death, second dose 97.5%: Govt data


via NaMo App",""
"1400050408790401026","now i know some of y’all are not vaccinated yet and are already outside wildin",""
"1444147521127915527","*I HEARD* the vax raises yr IQ

i heard it makes you a better lover.

not by growing yr Royal Sceptre
(penile enhancement's a bonus)
but by making you less frightened &amp;
therefore less selfish
better able to listen in expanded &amp;
richly-textured interpersonal, trans-societal space.",""
"1385617492412977153","Burkina Faso Tested Malaria Vaccine Shows 77% Efficacy  via @YouTube",""
"1379141706067623938","The Easter Bunny is virtue signaling.  He and everyone in that White House has been vaccinated",""
"1423651432755044354","barely a year old
Nomi Health Powers Nation’s Largest Known Mobile COVID-19 Vaccine and Testing Program",""
"1414751470839230486","Johnson &amp; Johnson vaccine linked to rare cases of autoimmune disorder - CNET",""
"1378932084207575044","There’s a 93% success rate in this first clinical trial for a brain cancer vaccine that targets developing the person’s immune system. May the rate of success continue! 🙏
#cancer #braincancer #immunesystem",""
"1402841433313366017","worst start 🤧
br br khansi arhe the flu b hai awaz b nae nikl rhe the bs fr raj raj k bezti hoi aj meri ,na sirf ward se bahr nikal dia covid test krany ko kaha gya or
phr vaccine na lgwany ke alag bezti hoi hai.
ghreeb ke koi zindge nae yahn.",""
"1429570792619139074","data shows that although vaccines provide strong protection against severe illness and hospitalization, even vaccinated people are at risk of contracting the virus and spreading it, and getting sick themselves.",""
"1378272239687065610","PETITION: No to mandatory vaccination for the coronavirus | LifePetitions",""
"1405915663701622793","""There are no completed clinical trials for any of the vaccines currently being administered across the UK and mainland Europe. Pfizer's phase III trial won't be completed until January 2023 and AstraZeneca’s will be complete in February 2023.""",""
"1415322720313741315","NEW: The Ford government will not impose a vaccination passport on residents, Solicitor General Sylvia Jones says.

Jones suggests a vaccine passport is under federal jurisdiction, and the vaccine receipt individuals recieve after vaccination should be sufficient proof.

#onpoli",""
"1388880925858009088","For the Vaccinated the CDC Redefines What a “COVID Case” Is #BreakingNews #News #Politics",""
"1396050316827758595","Is anything being done @NHSuk to resolve error code 9907 so eligible people can get their Covid vaccine? Especially important if vaccine proof is needed to access freedoms",""
"1442769346233765889","Ontario's vaccine certificate system to remain until at least spring",""
"1375794773840257033","Craig Momney speaks with Dr. Colin Lee about the vaccine rollout hiccups in Simcoe Muskoka.​",""
"1429559291967676426","If vaccinated people spread virus as much (or more) than unvaccinated people, why have vaccine mandates?",""
"1428168292645081090","@DrDanielSalinas Sr ministro me permito preguntarle luego del refuerzo con la 3ra dosis de pfizer para la que estoy agendado ¿se debe esperar los 14 días como con la sinovac para estar con mayor seguridad para desarrollar las diarias actividades?gracias",""
"1386702610422505475","COVID-19 Vaccination appointments available at CVS near BALA CYNWYD, PA. Sign up at  2021/04/26 15:24:00",""
"1415258199448428544","@mkstalin sir please college ah matumachum reopen pannunga 

Sathiyama online la padika mudiyala
Enga life  total ah pochu 😭💔
Please please please Aug la open pannirunga 

College students max vaccine potutanga nenaiken 

Pls college open pannirunga",""
"1403115836357988352","Some lady is bitching that the vaccine makes you magnetic, and I’d get double doses if that were remotely true.",""
"1378247433331879939","As the Dumbarton &amp; West Scotland candidate for @ScoLibertarian, I will fully oppose mandatory vaccination laws and mandatory face mask/visor laws as well as oppose vaccine passports.",""
"1438870418874585092","Today in disgusting: Texan Tourists Caught on Camera Attacking NYC Restaurant Hostess After She Asks for Vaccine Cards  via @thedailybeast",""
"1417926017297965058","Wondering how many rounds the worst of this pandemic will take before all that’s left are the vaccinated and those who couldn’t, who we strive to protect…",""
"1414928268692705296","Cuba created a vaccine that is 92% effective, promised to make it patent free, and committed to distribution in the global south.

That is why the US government is attempting to destabilize the country. Once again Cuba is getting in the way of capitalist interests.",""
"1390777377710477312","White House Backs Suspension of Vaccine Patents - #All_Health_Fitness_Tips - May 7, 2021 - The Biden administration has come out in favor of loosening patent and intellectual property protections on COVID-19... -",""
"1402022922399723521","‘The jabs are working’: From 12,383 Delta variant cases in Britain, only three fully vaccinated people in hospital | @bevanshields",""
