"id","text","label"
"1421042222879985664","@frank_broadcast Hearing Amanda say Pro choice, body autonomy re abortion and all that. I guess that also applies to to those who refuse the vaccine eh Frank?",""
"1418100514177355776","I have goosebumps. A doctor had to tell a young patient when she wanted a vaccine sorry you are too late. You were warned if you can get a vaccine now if even available you should do it. Do not wait until it is too late. It is spreading. If you still want to be stupid do not cry.",""
"1425384450842525697","How much longer are we going to have to put up with this #GladysClusterFukup she didn't lockdown Bondi and it spread to Sydney, then she didn't lockdown Sydney and now it's all over NSW and Aus. She is chasing vax herd immunity which clearly isn't  possible #GladysMustGo",""
"1415972073210589185","Don’t forget to maintain safety at vaccination sites- #WearAMask #SanitiseHands Avoid close contacts! 

And even after you are vaccinated- remain vigilant- it takes time to build up immunity. 

#VaccineRollOutSA",""
"1382398548398919680","Uttarakhand: Covid vaccine drive hit for second day due to limited supplies  via @timesofindia",""
"1419666218676473857","An experimental drug is a drug undergoing testing and evaluation during clinical trial(s) - which the covid-19 vaccine has already been through, so its factually false too claim the covid-19 vaccine is experimental.",""
"1395622038744682497","Please Vaccinate Your Teenager to Protect My 4-Year-Old  

Taking a vaccine is not simply a personal decision. People like this child &amp; myself must rely on the larger population to be vaccinated in order for us to be protected.",""
"1398369469471215618","Thales, ntp, 2nd vax shot effects, appt making, and legacy code I've already fixed and refactored but can't use are all trying to make life difficult today.",""
"1377726693104836617","Everybody should be opposed to vaccine passports. If trump was pushing for them y’all would be absolutely LOSING it",""
"1382398044994469893","@acme_co_ I have tried to get the covid vaccine through the VA and it seems like it is always out of stock. I guess I might as well just go to CVS.",""
"1372553012376444928","The EU seem determined to start a vaccine war. Their reputation will be in tatters. FDI golden rule for the twenty twenties will be ""anywhere but the EU.""",""
"1427036266390974464","They are gonna easy back on Vaccine talks to have American citizens fighting about voting again.",""
"1447410130706841604","Earlier this year, the Govt said any thought of mandatory vaccinations for New Zealanders was “social misinformation”. They were either lying through their teeth or the misinformation is coming straight from the podium. #nzpol #covid19nz #CovidVaccine",""
"1413303085385068544","Pfizer sees waning immunity from its Covid-19 vaccine - CNN",""
"1416444964926599171","‘Doctor told customers to take Covid pellets and sign their own fake vaccination cards’ #SmartNews
This fake dr. should be arrested as a danger to the community! If you don’t want the vaccine, don’t get it but don’t pretend you did!",""
"1389188214334889984","No significant side effects after second dose. Couldn’t tell if i was tired yesterday from the vaccine or was just tired anyways.",""
"1393391395042254850","CP NewsAlert: Dany Fortin leaves vaccine rollout post pending military investigation  Fed Govt photo",""
"1438137343865724929","|| if i see anybody tryna say that damiano shouldn't have to wear a mask if he is fully vaccinated, imma block. we're still in the middle of a pandemic if y'all forgot. fully vaccinated or not, it's still good to wear a mask.",""
