"id","text","label"
"1393392178420924416","9 hours after my first vaccine and I have been through fatigue, felt allergies like when I used to get allergy shots, and threw up my dinner. 
I'm not trying to sway people away from them. My intent was to get fully vaccinated for Covid. But if this is what the first dose....",""
"1442781124212649986","92% of adults vaccinated but children aged 5-12 'unlikely' to get their jab this year - 

#ShareTheJourney 
#DownSyndrome #Covid19Ireland",""
"1375877299799781377","Franklin Graham’s nutty followers are unhappy that he said Jesus would be in favor of the COVID-19 vaccine. 

Followers: How do you know? Jesus would see this as a farce! This vaccine has aborted baby cells in it; Jesus would NOT advocate for that! 

Jesus Christ on a stick. 🙄",""
"1378247433331879939","As the Dumbarton &amp; West Scotland candidate for @ScoLibertarian, I will fully oppose mandatory vaccination laws and mandatory face mask/visor laws as well as oppose vaccine passports.",""
"1431670669859827714","A police captain who refused the vaccine and took the anti-parasitic ivermectin to combat COVID-19 dies from the virus  These idiots would rather risk their lives than to simply take the vaccine to prevent covid. They would bend over backwards before doing",""
"1402021451792801795","Statement from @loiskolkhorst, the author of SB 968, the vaccine passport bill

""I am confident that like in Florida, Carnival will allow all to sail on cruises from Texas, regardless of their vaccination status."" #GalvNews",""
"1415383869935783939","Let's pray for France 🙏, 100% fascism law, mandatory vaccinations and prohibitions for non vaccinated.",""
"1428078210265325572","Tobago party tells parents to educate themselves about the Pfizer vaccine",""
"1428072378836430849","Encouraging news—-BNT162b2 mRNA Vaccine Elicits Robust Humoral and Cellular Immune Responses in People Living With Human Immunodeficiency Virus (HIV)",""
"1425373228978016257","Please if you’ve taken the moderna vaccine on the island let me know where 😩🥺",""
"1425360307657060353","Outbreak of SARS-CoV-2 Infections, including COVID-19 Vaccine ... 
... 346 (74%) occurred in fully vaccinated persons ...
 via @CDCgov",""
"1426669409997840384","Watch his face: Bill Gates loves idea of vaccine requirement for Social Security 
#Epstein #BillGates",""
"1405568432033222658","Well it has been 2 hours since my vaccine so think I am going to pop to store",""
"1407637556049612805","Is there any lawyers out there who can let me know if the government can bring in a law to make healthy people take part in trials for an experimental vaccine? My daughter (24) loves her job in care work but doesn't want the vaccine all the residents are vaccinated. Please help.",""
"1373719116566040576","I’m getting my first vaccine + chopping my hair in a style that will make my mom seethe this week",""
"1433765728868524036","I’ve had my first covid vaccine absolutely fine please if you can get it if you don’t want to I understand , I don’t like needles but I had it done ❤️",""
"1374759506006175753","The #COVID19 vaccination centre at @PaircUiCha0imh will open tomorrow.  Frontline healthcare workers will be vaccinated tomorrow and Friday. Assistant coordinator of nursing Aífe O’Connell has been telling senior news reporter @fiona96fmnews about how the centre will work...",""
"1421431804054097920","When I got my second dose, I said ""oh yeah now im even more juicy"" and the nurse put the syringe back in and took the vaccine out of me",""
"1439615480629768192","minho i am double vaccinated and would happily isolate for 2 weeks to see you in concert",""
"1415716514997575682","Maharashtra govt issued order for exemption from RTPCR of fully  vaccinated passengers
@anilshidore @mnsadhikrut #TravelSafeTravelMindfully #CovidIsNotOver",""
"1424108398442946561","@TysonFoods @Google @UnitedAirlines_ @Microsoft @walmart What gives you the right to rape me of my choice to take a vaccine or not? YOU ARE RAPING US and people agree with your heinous crimes.",""
"1379537556056989699","Watching Bipartisan Policy Center Discussion on COVID-19 Vaccine Hesitancy and Building Trust @CSPAN",""
"1379141817321541633","New CDC report for 4/5/2021:

24,013 new people received the first dose of the vaccine in NC.

That's the 52nd best day so far.",""
"1394990846433452032","The number of vaccine doses administered daily has been falling over the past few days across India &amp; among States 
that've administered the highest number of doses cumulatively, reports @annapurani93 in @businessline today

Full infographic here -",""
"1394424184407683073","I got my second dose of moderna today which means in two weeks, you can officially use me as a WiFi hot spot",""
"1405042457608278016","The problem with mandatory vaccination is the removal of human right in protecting one’s health and life, including the choice of vaccine to use.",""
"1415971295204839426","Opinion: If college football players skip vaccine and COVID wrecks their season, it's their own damn fault #SmartNews I can’t wait for high school football in Texas, the Republican moms and dads deserve it. LOL bring on Delta. LOL dumb Republicans.",""
"1405937486971424768","I'm fully vaccinated now! Waiting for that 5G magneto powers to kick in 🥰",""
"1446082978489282566","Dear @reason: statements like ""95 percent efficacy of mRNA COVID-19 vaccines"" are meaningless. Is this efficacy against infection? Hospitalizations? Deaths? Please specify a clinical endpoint.

We know efficacy against infection drops &lt;50% months later.",""
"1436220107005382657","Complex feelings with vaxxed only activities policy for our country. Bc 1) we've had a similar condition with tourist visits before that required swab tests etc where hundreds of people still faked anyway
2) the vax cards dont have ID numbers lol
3) rollout is still bad",""
"1443374928284184582","YouTube expands policies to ban all anti vax content",""
"1383115666098683907","@POTUS thank you so much for getting the shot in people’s arms! If trump remained president,my God the death toll would have been outrageous,this 500,000+ is outrageous enough, to know fault of you, under trump, the vaccine dispenser would have never happened successfully! Period",""
"1418060739194068992","J.&amp;J. Vaccine May Be Less Effective Against Delta, Study Suggests",""
"1378227904308518915","V
Families face paying £600 for tests to go on foreign holidays: Traffic light system will require at least £150 per person extra - even if the destination is on the 'green list' - but fully vaccinated people won't need ANY tests
======",""
"1386763247030784001","'If I could do a cartwheel I would'. 

A woman's relief &amp; joy in St Helens after getting her Covid-19 jab, as the NW reaches a 5 million vaccine milestone. Another important step on the road to recovery after a year of misery  
More here:  @LiseMcNally",""
"1379536859487891457","Oxford pauses COVID-19 vaccine study in kids, awaits more data on blood clot issues",""
"1391656453988028419","🇸🇬#Singapoor 🇩🇪#Germany

BIONtech, the German biotech company, is expanding its international presence. The Covid-19 vaccine developer announced that the company's Southeast Asian headquarters will be built in Singapore, along with an mRNA production facility.",""
"1389190753700614146","Moderna is joining developers including AstraZeneca Plc, Pfizer Inc. and Johnson &amp; Johnson in supplying Covax, which has faced setbacks in its bid to help lower-income nations.",""
"1397352669296185347","We have a role with an Investment Bank. ↗️
They'll interview candidates with Series 24, Private Placement #FINRA ADVERTISING tenure.  The role will be 100% remote.
 
☎️I can schedule calls for with this:  

📷post vax 5.12.21 @Hiringsolved T-SHIRT",""
"1433777501290041349","Early in pandemic ins covered cost of COVID testing &amp; treatment (Fed law required testing)

With vaccines widely available, ‘goodwill’ coverage for treatment is ending if you refused vaccine

70% of companies no longer waive treatment costs
addl 10% end of Oct

Is That Legal?
Yes",""
"1398494924690001922","QT with predictive text: Fully vaccinated people can... 

Fully vaccinated people can but also may go to the DMV for pooping. 💩",""
"1390780743111122945","Pfizer seeking full FDA approval for its COVID-19 vaccine",""
