"id","text","label"
"1415991287510040576","Every State should *Accelerate"" the Vaccination drive, as the target is set to vaccinate the every citizen of 🇮🇳 is by the end of this year.

Mission Vaccination✌️",""
"1374908734829379587","It's been 4 hours since my first Covid vaccine and I haven't received my Spidey Powers yet. @pfizer How long until I should expect to receive these? Can I download an app to activate the microchip that activates the Spidey Powers?",""
"1400714078889426945","This week, I had the privilege to recieve the Covid-19 vaccine at the Jubilee House. Ghanaians, the vaccine is safe and the surest way of helping us curtail the spread of the virus that has taken too many lives. I entreat you to get vaccinated. #TheV… …",""
"1432250479703113731","Japón aclaró que los dos vacunados que fallecieron no recibieron el lote contaminado de Moderna",""
"1419783409547812864","Regardless of what your stance is on whether or not to be vaccinated. I think it’s very weird that some of you post your vax card/brag about being vaccinated🥴 As if it’s some type of status.",""
"1446882187010322442","... dozens of other nations are now beating US in COVID-19 vaccinations ... For a time, the United States' vaccine rollout was the envy of much of the world ...",""
"1413215087075205126","You can now walk in to The Arc, 98b St Paul St, London N1 7DF from Monday to Saturday and receive an AstraZenica or Pfizer vaccine, first or second dose. See our website for further details and opening times.",""
"1416740041079070730","They are now admitting that the shot you people got doesn’t even work. Now ask what was in vaccine that they gave you. Why do you need a booster shot now?!",""
"1441748529328787464","In the vaccinated population, breakthrough cases and hospitalizations are practically zero in NYS. Stop believing misinformation and in religious exemptions no religion has endorsed. Everyone 12+, unless a doctor told them not to, should get a vaccine.",""
"1419713067454287872","La cantidad de publicaciones de cualquier red social que mis amigos comparten conmigo acerca de que la vacuna Pfizer hace que te crezcan las tetas es deprimentemente alta",""
"1417161625489059847","This is just the beginning, the vaccine passports will get expanded to other areas as will the mandatory vaccinations 
If your ok with this your not the good person you probably tell yourself you are",""
"1438132380984909825","Days ago, Biden announced his side stepping of individual rights with his executive order for Covid Vaccine mandates. On this week's episode we say enough is enough.

Watch:


Listen:",""
"1423643249416282112","Several friends said that they weren't taking the vaccine &amp; very adamant like I was crazy for getting it. Misled about info each is now in the hospital near death, embarrassed &amp; have spreaded it to family members. Don't trust no one without a mask.",""
"1431673447214637064","Eric Clapton’s ‘This Has Gotta Stop’ Appears to Take On Covid Vaxx – Rolling Stone  …I’m gonna go w/ the musical great Clapton here after I read his backstory. You’re able to share if a medicine gave you side effects b/c you were ballsy enough to take it",""
"1436457179184341016","If the Vax was so good, why should I sign a waiver saying I won't sue ?",""
"1374751818824171526","I see 10-20+ people a day. I have to come in contact with their bodily fluids on a consistent basis. But I’m still not eligible for the vaccine yet 🙃",""
"1397942966384152577","We will soon overcome vaccine shortage..hope people will actively participated",""
"1415978362527440902","Good morning Twitter family! I hope you have a great day! 2nd day post vaccination and I feel just fine! Anyone who worries about the 2nd vaccine, don’t, it’s a piece of cake! Blessed be!💜💜💜",""
