"id","text","label"
"1378247433331879939","As the Dumbarton &amp; West Scotland candidate for @ScoLibertarian, I will fully oppose mandatory vaccination laws and mandatory face mask/visor laws as well as oppose vaccine passports.",""
"1428303477411770372","💉 [#Coronavirus] La pauta completa de la vacuna Pfizer es inicialmente más efectiva contra la covid provocada por la variante delta que la del preparado AstraZeneca, si bien la eficacia de la primera decae más rápidamente",""
"1392912553106309120","I'm not saying I am against the new CDC guidance on masks for fully vaccinated people but I doubt we will ever get people to wear masks again.",""
"1419710777217462274","Medical groups call for mandatory vaccination of U.S. health care workers.",""
"1402677633599614979","When good communications save lives.

Damning Report Blames Macron for Low Vaccine Confidence  via @guidofawkes",""
"1415972077614608387","Officially fully vaxxed yesterday &amp; I couldn’t be happier 🥳 
#COVIDVaccination #vaccinated",""
"1432394533644521476","One of my professors already has COVID. We didn't even make it into week 2. He is vaccinated and asymptomatic, but I don't know if he has any immunocompromised/very young people at his home or who he visits that he now has to worry about because he might have infected them.",""
"1410045176517627907","Le médecin en chef de Moderna avertit que le vaccin n'empêchera pas la transmission du virus",""
"1445917315942555649","So, hypothetical, what happens when hospitals like @OchsnerHealth  @FollowMercy and many more have only vaccinated employees, yet they still spread the virus between one another and to patients? Do they then fire all the vaccinated workers and just shut down? #VaccineMandates",""
"1429571762405134339","People really be in the medical field &amp; anti-vaxx lmao someone sent me a(n obviously misinterpreted) study from a university that is REQUIRING their students to get the vaccine 💀💀💀",""
"1381985827501322242","Maybe if you are not vaccine hesitant yourself, your gut reaction isn't the best gauge of what the effect will be?",""
"1410045423578804224","The worst part is that the people getting the vaccine think somehow they’re superheroes 🐑",""
"1436075123170283520","So biden is saying that the unvaccinated at work needs to be to be vaccinated to protect the already vaccinated... What good is the vaccination if it's not already protecting them?",""
"1378246892690276356","COVID-19 Vaccination appointments available at CVS near DANVILLE, PA. Sign up at  2021/04/03 07:24:00",""
"1450944634172035077","FDA APPROVES MODERNA and JENSSEN/JOHNSON &amp; JOHNSON BOOSTERS TODAY‼️‼️ 
The most important information on COVID-19, all in one place - Apple News Spotlight",""
"1431548090377547776","As they promote mandatory vaccinations and vaccine passports for us, the...
CBC says vaccine is a “personal decision” for employees to make  via @truenorthcentre",""
"1436092911016361997","This hit and miss mandatory vaccination is bullshit, why does congress get to opt out, why does the federal court system get to opt out? Fuck this I’m not getting vaccinated",""
"1373864326637912067","Getting vaccinated tomorrow... maybe it'll make me more funny",""
"1445059029496176650","Maybe the vax is not compulsory and probably never will be because if the government imposes mandatory vaccination it would mean that automatically they become legally &amp; criminally responsible for the side effects and the deaths?  🤔🤔",""
"1381110570242424832","I wonder is a nasal spray vaccine would actually be optimal against covid",""
"1431353329854992385","Developing vaccines for some disease-causing viruses is tough. For example, the virus that causes COVID-19. This means that a COVID-19 vaccine when it's available.",""
"1441835419876929537","President Raeisi: Nearly 70% of Iranians vaccinated",""
"1386759849287905283","Shaming can sometimes be a good thing! That’s the only reason now that we read, “U.S. to share AstraZeneca vaccine stockpile with the world”.

It’s not enough though. U.S. patents on vaccines must be lifted immediately to get adequate world coverage!",""
"1385904547587973121","Just realised that TraceTogether app will reflect that I am vaccinated ... nice.",""
"1415978362527440902","Good morning Twitter family! I hope you have a great day! 2nd day post vaccination and I feel just fine! Anyone who worries about the 2nd vaccine, don’t, it’s a piece of cake! Blessed be!💜💜💜",""
"1400727913025126401","Vaccine nationalism is hurting us. We must take a global approach to vaccination availability and equity.",""
"1378943594652897287","ATP updates protocols to add incentives for taking COVID-19 vaccine",""
"1407634784491278338","More educators have lined up at the Rabasotho Community Centre in Tembisa to get the single dose Johnson &amp; Johnson vaccine #VaccineRollOutSA @KayaNews",""
"1378010054171893768","I needed this. Fully vaccinated people may travel, CDC says",""
"1427990678949306381","@SalmaZahid15 

What is your position on vaccine passports and mandatory vaccinations? Are you for or against them?

#Election2021 #ElectionsCanada",""
