"id","text","label"
"1441233461201801216","Love Island's Priya Gopaldas and TV doctor back teenage vaccine drive:",""
"1374753990248820740","@EU_Commission 
@WHO 
@dwnews 

29 million AZ doses found in Italy, supposedly bound for UK were instead due to be sent to Europe &amp; developing countries under COVAX

Is EU Commission focus on undermining the confidence in AZ vaccine &amp; blaming UK for its woeful vaccine strategy?",""
"1419700253339553793","Medical groups call for mandatory vaccination of U.S. health care workers.",""
"1403236899515518976","@KhurramHusain claims that Bangladesh's vaccine rollout is faster than Pakistan. Have a look at these 2 graphs and you be the judge. 

This is the same crowd that kept insisting that India's response to Covid has been better &amp; we should copy their strategy.",""
"1375040843212541952","Visiting the pub and other parts of hospitality should not be subject to mandatory vaccination certification. It is simply unworkable, would cause conflict between staff and customers and almost certainly result in breaches of equality rules.",""
"1417201587899047942","#NoVaccinePassportsAnywhere

Write to your MP. Do it now. They won't know how many are against this unless we speak up now. 

We can not accept Vaccine Passports. This is a slippery slope towards fewer freedoms and more surveillance.",""
"1388867678597701638","One over milion (1/10000000) is an assumables risk If we think about the risk to suffer #COVIDー19 
Dr. Fauci expects decision on J&amp;J vaccine as soon as Friday",""
"1399215460755906561","Hong Kong turns to businesses to fix foundering vaccine program",""
"1412678188182896642","Mister Angus Campbell, I am Australian little girl, our vaccine rollout is in shambles, please send Lockheed AP-3C Orion maritime patrol aircraft to liberate our hospitals and health clinics",""
"1430720180577992707","The Opposition has called on the Health Minister to explain why dozens of hotel quarantine workers are not fully vaccinated, over three months after the Government’s mandatory vaccination deadline.
@MartyAldridgeMP 
More 👇",""
"1421423259795460107","The amount of anti vax twats that I’m blocking on here is unreal and very very satisfying",""
"1415971295204839426","Opinion: If college football players skip vaccine and COVID wrecks their season, it's their own damn fault #SmartNews I can’t wait for high school football in Texas, the Republican moms and dads deserve it. LOL bring on Delta. LOL dumb Republicans.",""
"1419370136562135041","Republicans: “I need this AR-15 to protect my family from scary people”

Republicans: “I won’t get vaccinated or wear a mask because I refuse to live in fear”",""
"1425839620487585798","At BioVaxys we are committed to developing better SARS-CoV-2 diagnostics.

By screening the T-cell response to SARS-CoV-2 in both vaccinated and unvaccinated populations, CoviDTH can help the medical community better allocate resources to address the pandemic.",""
"1405042457608278016","The problem with mandatory vaccination is the removal of human right in protecting one’s health and life, including the choice of vaccine to use.",""
"1415972077614608387","Officially fully vaxxed yesterday &amp; I couldn’t be happier 🥳 
#COVIDVaccination #vaccinated",""
"1439653544706154499","i’m weak af at that “dear antivaxxers” video bc i’m vaccinated n i personally don’t care abt mfs das not… das on u dat u don’t wanna get vaccinated so i’m not gonna convince u that u should be.",""
"1378247433331879939","As the Dumbarton &amp; West Scotland candidate for @ScoLibertarian, I will fully oppose mandatory vaccination laws and mandatory face mask/visor laws as well as oppose vaccine passports.",""
"1415978227479334913","i can't even show how happy and emotional i am i repeat it but i'm in the thing to get vaccinated idk how it's called but yeah",""
"1442520254576533507","Why do people spread the info that he doesn't want to take it because he's anti vaxx when he literally said he's scared of the pain that comes with getting vaccines +he said he will take it when the rest of the members also take it. Don't make him seem as an anti vaxxer",""
"1443378133650919428","I spoke with this propagandist nut job yesterday. He had the personality of a hibernating lizard. But he’s right—Fraud Fauci and his misinformers have yet to be brought to justice. Aldhous—evil!

Doctors Spreading COVID Vaccine Lies Aren't Being Punished",""
