"id","text","label"
"1381977979148963841","ICYMI: Garrett Nelson cautions that he isn't trying ""to get that whole hype train barreling into a brick wall,"" but the LB has a to report. That's one note in yesterday's #Huskers' Red Report.

Plus — Frost on open practice ➡️ Vaccine ➡️ CTB ➡️ more:",""
"1419554982194552835","#VacunatePy: UNO650AM

MÁS VACUNAS 💉👏🏻 ▪️ Joe Salazar, Encargado de Negocios de los Estados Unidos en Paraguay, anunció desde su cuenta de Twitter la donación de 1 millón de vacunas Pfizer para el país. 📻 #650AM #Uno25Años 

— Radio Uno 650 AM (@UNO65…",""
"1408649417926877184","Foxy got vaccinated yesterday and just had the most horrible night ever 😖 This stuff really kicks my butt",""
"1436078788350251008","Do the people mad about vaccine mandates really expect the government to just do nothing? They really just want us to sit back and watch millions of people die and the all of the hospitals collapse?",""
"1372539045306245123","Covid-19: No need to panic, says Delhi CM Arvind Kejriwal | Key points 
(1.) ‘No need to panic’
(2.) ‘Leniency crept in’
(3.) ‘Avoid vaccine hesitancy’
(4.) ‘125,000 doses to be administered daily’
(5.) ‘Relax vaccination guidelines’",""
"1415971295204839426","Opinion: If college football players skip vaccine and COVID wrecks their season, it's their own damn fault #SmartNews I can’t wait for high school football in Texas, the Republican moms and dads deserve it. LOL bring on Delta. LOL dumb Republicans.",""
"1385907168382226438","Map shows where to get a covid vaccine in Allegheny County",""
"1431350809351139329","Question… is it mandated to get a flu if you work in healthcare?…. Because if it is.. people are crying over a vaccine to save us and yourself from this pandemic… im extra judging",""
"1430252685043793921","#MakeADifference at Cherokee Health Moderna Vaccination Event with Student National Pharmaceutical Association (SNPhA)",""
"1425374541321105410","Seems conservative media now dead in Australia. #PetaCredlin now pushing vaccine passports. Its just flat out blackmail or extortion as alternative to mandatory vaccination. Towing the LNP policy line or muzzled by fear will be taken of online platforms.  Either way its NO",""
"1403132724462903297","COVID-19: These States Giving Away Guns, Trucks, Pot As Incentives To Get Vaccinated  Absolutely ridiculous.",""
"1437060467621511174","I am, due to lung and heart illness, vaccinated. However, if Biden announces a mandatory vaccination law w/o alternative testing, I will protest to the point of arrest and will urge all to do so. This vaccine hasn't yet received enough testing and we have the right to reject it.",""
"1415991287510040576","Every State should *Accelerate"" the Vaccination drive, as the target is set to vaccinate the every citizen of 🇮🇳 is by the end of this year.

Mission Vaccination✌️",""
"1396115633985761283","COVID-19 Vaccination appointments available at CVS near FREDERICK, MD. Sign up at  2021/05/22 14:48:00",""
"1373726156395012102","COMMONWEALTH Healthcare Corp. Chief Executive Officer Esther L. Muna on Thursday said the Covid-19 vaccine is a pathway to “the next normal.”",""
"1382861965048041473","How to protect yourself from the coronavirus if your immune system is compromised? Get vaccinated even if the shots don't work as well, experts say. And another therapy is showing promise: monoclonal antibodies.",""
"1388498649655693317","Whoop whoop just had letter through with second vaccine appointment in just over a weeks time! Which means when I finally see my family in 3 weeks i shall be fully vaccinated! Science is truly a wonder",""
"1400205289668890628","Se me llenaron los timelines de gente vacunada y estoy toda así 🥰. Sigan llorando por Pfizer que mientras tanto la vacunación avanza.",""
"1410044739236163584","Alhamdulilllah my day 25 postnatal sister, currently breastfeeding, already received her Sinovac vaccine 🥰",""
"1403591492241920003","You dont want to get vaccinated mara ngee mukweni afi ko covid oto weelele . Opo to tameke wahala o vaccine .",""
"1405563385270444035","Ugh. The earliest I could book for a Pfizer shot was July 20th in Steinbach. No options for RBC. Back to supply issues again. I guess it is a roadtrip and maybe a built in storm chase? 🤞 😂",""
"1382956943174696963","Pausing the J&amp;J Vaccine Was Easy. Unpausing Will Be Hard",""
"1392064619112398854","@sudhirchaudhary lagata hai @ArvindKejriwal apka #DNA roz dekate hai tab hi to aaj covid vaccine par patent hatane ki baat kar rahe hai.. 
Jo ap apne #DNA ke 2 episode mai bataya hai.",""
"1378912397784539136","All Victorian frontline hotel quarantine workers to be vaccinated by Thursday",""
"1418705916828946432","Vax clinic noon-4 pm Waipahu High
Jill Biden To Visit Vaccine Clinic In Waipahu Sunday",""
"1415323949391548416","I’m delighted to learn that two thirds of adults across the #UK have now had two jabs. Our target has been beaten by almost a week - grateful thanks to everyone involved. The vaccine is our wall of defence against the virus.",""
"1429560568248213505","Such a smooth arrival through @TorontoPearson today. ArriveCan forms submitted, Covid test results and proof of vaccine at the ready and Nexus cards in hand, it took just an hour from the time the plane landed to leaving the terminal! Pleasantly surprised!",""
"1428073260072140802","'Looks Like&amp;#8230;A Money-Making Operation'-Trump Speaks Out On Pfizer Booster Shots  #Coronavirus #DonaldTrump via @jakepalmieri",""
"1372560003471659010","New top story from Time: I’m Vaccinated Against COVID-19, But My Kids Aren’t. What’s Safe for Us?  Jamie Ducharme March 18, 2021 at 10:42PM",""
"1423941310164180993","Vaccination is open to all above 18 years of age. However, students aged 16-18 years, who need to go abroad for study to universities requiring mandatory vaccination will be   administered Moderna vaccine.  (to be administered on checking valid visa / university documents)",""
"1419715528063537157","Medical groups call for mandatory vaccination of U.S. health care workers.  #CoronavirusPandemic #COVID19 #vaccination",""
"1393665747944185856","lets goooo i’m fully vaccinated it’s over for you bitches i’m officially hot as shit",""
"1438858079823597568","Anyone entering Switzerland who has not been vaccinated against Covid-19 or recovered from the virus must provide a negative Covid test result from September 20, the government said on Friday.",""
"1415978413731553280","I told my child’s father I wasn’t comfortable with him being around me  or my child if he’s not vaccinated. Now the anti vaxxer is getting vaccinated 🙏🏽😎 He know I do not play about my damn baby.",""
"1394402612317868032","Ooo ya bitch just got her second Moderna shot, livin’ that fully vaxx life 💉💉",""
"1405042457608278016","The problem with mandatory vaccination is the removal of human right in protecting one’s health and life, including the choice of vaccine to use.",""
"1434886878864445440","'Low-life move' - David Seymour under fire for tweeting out Māori vaccine access code -  Māori Party co-leader Debbie Ngarewa-Packer said it was a “low-life move” aimed at intentionally sabotaging the Māori vaccine campaign. And…",""
"1423649251192680455","Without mandatory vaccinations we will not reach the level of public inoculation that will free us from this, NOW PREVENTABLE, scourge

#MakeVaccinesMandatory #OntPoli

If you want to eat, play and live in public spaces you need a vaccine. Otherwise there's @UberEats and @Netflix",""
"1393392231806033921","""Delhi Police arrests 9 pasting posters with comments critical of Prime Minister Narendra Modi regarding the Covid vaccination drive""
#CovidIndia #COVID19 #Covid19IndiaHelp   via @IndianExpress",""
"1448881333757906946","Vaccine Skeptics Are Citing This Little-Known Government Website. Here's What VAERS Really Shows - NBC Connecticut: * Vaccine Skeptics Are Citing This Little-Known Government Website.…  -Follow me more news #نیب_نیازی_گٹھ_جوڑ #FB__G #PakistanDemandsCrypto",""
"1396134364581441541","Choosing not to vaccinate yourself, whether it’s the Covid vaccine or others, is an inherently irrational and immoral decision because it affects more than just the person refusing to do so.",""
"1394982621554388996","the first thing i’m going to do once i get the vaccine is get a new tattoo. la lang, testing lang",""
"1428065608399159301","Video recruiting Oregon elder care workers, vaccinated or not, stirs controversy  

Where is the mandatory vaccination policy?",""
"1373135381403631617","Staffs who currently working at Mandalay Development Department are forcibly injecting Covid-19 vaccine without their agreement as they fear of side effects. 

#WhatsHappeningInMyanmar  #Mar20Coup",""
"1425510290402299909","""64% of Americans now support mandatory vaccinations for everyone, and 70% support them as a requirement for boarding airplanes. More than 6 in 10 say that vaccinations should be required for K-12 students ... as well as for college students""",""
"1438129146744426498","Please Share! Today @ the Orange Monkey
Get the shot &amp; get a $25 gift card good for pool, food and drinks!
✅ Pfizer or Moderna
✅ 1st or 2nd shot
✅ 12+
Thank you Brian Beauchamp! #Ottawa #COVID19 
@mikewoodottawa @boomottawa @OttawaHealth",""
